,address,town,blk_no,street,max_floor_lvl,latitude,longitude
0,1 BEACH RD,KALLANG/WHAMPOA,1,BEACH RD,16.0,1.3034885,103.8645286
6,1 BEDOK STH AVE 1,BEDOK,1,BEDOK STH AVE 1,14.0,1.3208365000000002,103.9336747
11,1 CHAI CHEE RD,BEDOK,1,CHAI CHEE RD,15.0,1.3280147,103.9225545
17,1 CHANGI VILLAGE RD,PASIR RIS,1,CHANGI VILLAGE RD,4.0,1.3885279,103.9876314
19,1 DELTA AVE,BUKIT MERAH,1,DELTA AVE,25.0,1.2920467,103.82692709999999
24,1 DOVER RD,QUEENSTOWN,1,DOVER RD,12.0,1.3025531,103.7832934
28,1 EVERTON PK,BUKIT MERAH,1,EVERTON PK,12.0,1.27740065,103.8401402
35,1 GHIM MOH RD,QUEENSTOWN,1,GHIM MOH RD,15.0,1.31288055,103.78692859999998
40,1 HAIG RD,GEYLANG,1,HAIG RD,15.0,1.3112453,103.8976933
45,1 HOUGANG AVE 3,HOUGANG,1,HOUGANG AVE 3,14.0,1.3641358999999997,103.8929408
52,1 JLN BT MERAH,BUKIT MERAH,1,JLN BT MERAH,14.0,1.2865392,103.8082533
57,1 KG KAYU RD,KALLANG/WHAMPOA,1,KG KAYU RD,10.0,1.3035794,103.8837808
60,1 LOR 7 TOA PAYOH,TOA PAYOH,1,LOR 7 TOA PAYOH,11.0,1.33961615,103.8533722
64,1 LOR LEW LIAN,SERANGOON,1,LOR LEW LIAN,14.0,1.35089275,103.8753254
69,1 MARINE TER,MARINE PARADE,1,MARINE TER,25.0,1.30481515,103.91860149999998
75,1 MARSILING DR,WOODLANDS,1,MARSILING DR,11.0,1.4406366500000005,103.77573720000004
79,1 PINE CL,GEYLANG,1,PINE CL,19.0,1.3080464,103.8831793
91,1 QUEEN'S RD,BUKIT TIMAH,1,QUEEN'S RD,23.0,1.3172751,103.8068312
97,1 ST. GEORGE'S RD,KALLANG/WHAMPOA,1,ST. GEORGE'S RD,12.0,1.3235015,103.8615385
101,1 TECK WHYE AVE,CHOA CHU KANG,1,TECK WHYE AVE,13.0,1.3825069,103.7517129
108,1 TELOK BLANGAH CRES,BUKIT MERAH,1,TELOK BLANGAH CRES,16.0,1.27936165,103.8179342
114,1 TG PAGAR PLAZA,CENTRAL AREA,1,TG PAGAR PLAZA,24.0,1.2749526,103.8425767
119,1 TOH YI DR,BUKIT TIMAH,1,TOH YI DR,13.0,1.3394912,103.77494040000002
128,10 CHAI CHEE RD,BEDOK,10,CHAI CHEE RD,15.0,1.3274203,103.9246577
136,10 EUNOS CRES,GEYLANG,10,EUNOS CRES,16.0,1.32231075,103.902785
142,10 GLOUCESTER RD,KALLANG/WHAMPOA,10,GLOUCESTER RD,14.0,1.3139044,103.8522426
151,10 HAIG RD,GEYLANG,10,HAIG RD,13.0,1.3147616,103.89584610000001
156,10 HOLLAND AVE,QUEENSTOWN,10,HOLLAND AVE,14.0,1.30813055,103.7942691
161,10 JLN BATU,KALLANG/WHAMPOA,10,JLN BATU,12.0,1.3020963,103.8828882
172,10 JLN KUKOH,CENTRAL AREA,10,JLN KUKOH,12.0,1.2870112,103.8390835
175,10 JLN RUMAH TINGGI,BUKIT MERAH,10,JLN RUMAH TINGGI,4.0,1.2881296,103.8084045
178,10 JOO SENG RD,TOA PAYOH,10,JOO SENG RD,20.0,1.3346518,103.8801628
184,10 LOR 7 TOA PAYOH,TOA PAYOH,10,LOR 7 TOA PAYOH,25.0,1.3371427,103.8583618
189,10 MARSILING DR,WOODLANDS,10,MARSILING DR,22.0,1.4406872,103.7768859
195,10 PINE CL,GEYLANG,10,PINE CL,13.0,1.30906845,103.8820522
202,10 SELEGIE RD,CENTRAL AREA,10,SELEGIE RD,10.0,1.30366365,103.8505527
206,10 ST. GEORGE'S RD,KALLANG/WHAMPOA,10,ST. GEORGE'S RD,4.0,1.3237873,103.863407
208,10 TECK WHYE AVE,CHOA CHU KANG,10,TECK WHYE AVE,12.0,1.3815316,103.7532014
215,10 TELOK BLANGAH CRES,BUKIT MERAH,10,TELOK BLANGAH CRES,10.0,1.27773095,103.8197612
219,10 TOH YI DR,BUKIT TIMAH,10,TOH YI DR,7.0,1.3378276499999997,103.77331159999997
220,100 BEDOK NTH AVE 4,BEDOK,100,BEDOK NTH AVE 4,14.0,1.33429125,103.93884990000001
230,100 C'WEALTH CRES,QUEENSTOWN,100,C'WEALTH CRES,10.0,1.3077166,103.80128829999998
234,100 LOR 1 TOA PAYOH,TOA PAYOH,100,LOR 1 TOA PAYOH,16.0,1.33954165,103.84858790000001
240,100 WHAMPOA DR,KALLANG/WHAMPOA,100,WHAMPOA DR,25.0,1.3207933,103.8543881
246,101 AH HOOD RD,KALLANG/WHAMPOA,101,AH HOOD RD,25.0,1.327386,103.8444686
252,101 ALJUNIED CRES,GEYLANG,101,ALJUNIED CRES,12.0,1.3208976,103.8833248
259,101 ANG MO KIO AVE 3,ANG MO KIO,101,ANG MO KIO AVE 3,12.0,1.3702859,103.83950980000002
264,101 BEDOK RESERVOIR RD,BEDOK,101,BEDOK RESERVOIR RD,12.0,1.32851935,103.9099539
270,101 BISHAN ST 12,BISHAN,101,BISHAN ST 12,25.0,1.344858,103.8483891
275,101 BT BATOK WEST AVE 6,BUKIT BATOK,101,BT BATOK WEST AVE 6,13.0,1.3467887,103.7469058
283,101 BT PURMEI RD,BUKIT MERAH,101,BT PURMEI RD,11.0,1.2715396000000003,103.82574699999999
290,101 C'WEALTH CRES,QUEENSTOWN,101,C'WEALTH CRES,10.0,1.3081081,103.8008886
293,101 CLEMENTI ST 14,CLEMENTI,101,CLEMENTI ST 14,15.0,1.3221645,103.7688349
300,101 GANGSA RD,BUKIT PANJANG,101,GANGSA RD,13.0,1.37921775,103.7674713
306,101 HENDERSON CRES,BUKIT MERAH,101,HENDERSON CRES,12.0,1.2753484,103.8147842
310,101 HOUGANG AVE 1,HOUGANG,101,HOUGANG AVE 1,9.0,1.3548655,103.8912883
