address,latitude,longitude
308 ANG MO KIO AVE 1,1.36548535,103.844025
216 ANG MO KIO AVE 1,1.3662718,103.8414649
211 ANG MO KIO AVE 3,1.369226,103.8416521
254 ANG MO KIO AVE 4,1.3702761,103.8346991
231 ANG MO KIO AVE 3,1.3686398,103.8374899
209 ANG MO KIO AVE 3,1.3691788,103.8433856
219 ANG MO KIO AVE 1,1.3659481,103.8406449
232 ANG MO KIO AVE 3,1.3683213,103.8371386
202 ANG MO KIO AVE 3,1.3684773,103.8445304
320 ANG MO KIO AVE 1,1.3656227,103.8483935
235 ANG MO KIO AVE 3,1.366864,103.8364264
252 ANG MO KIO AVE 4,1.3688985,103.8342344
220 ANG MO KIO AVE 1,1.3655748,103.8405509
309 ANG MO KIO AVE 1,1.365063,103.8458457
101 ANG MO KIO AVE 3,1.3702859,103.8395098
324 ANG MO KIO AVE 3,1.3682945,103.8469199
344 ANG MO KIO AVE 3,1.36795345,103.8492745
428 ANG MO KIO AVE 3,1.3689968,103.8543012
105 ANG MO KIO AVE 4,1.3723345,103.8376035
128 ANG MO KIO AVE 3,1.3708125,103.8435558
120 ANG MO KIO AVE 3,1.3700685,103.8446013
103 ANG MO KIO AVE 3,1.3709857,103.8393248
427 ANG MO KIO AVE 3,1.3696827,103.853966
230 ANG MO KIO AVE 3,1.3688945,103.8378628
126 ANG MO KIO AVE 3,1.3716391,103.8436008
247 ANG MO KIO AVE 3,1.3680371,103.8338455
223 ANG MO KIO AVE 1,1.3659735,103.8377399
127 ANG MO KIO AVE 3,1.3712061,103.8436008
343 ANG MO KIO AVE 3,1.36832515,103.8491419
346 ANG MO KIO AVE 3,1.367239,103.850609
121 ANG MO KIO AVE 3,1.3697393,103.8435954
313 ANG MO KIO AVE 3,1.3666714,103.8501156
329 ANG MO KIO AVE 3,1.3666457,103.8468168
117 ANG MO KIO AVE 4,1.37378645,103.8355234
345 ANG MO KIO AVE 3,1.3675001,103.8496768
110 ANG MO KIO AVE 4,1.3703357,103.8368816
430 ANG MO KIO AVE 3,1.3690344,103.8525089
401 ANG MO KIO AVE 10,1.3611003,103.8554186
439 ANG MO KIO AVE 10,1.3663486,103.8533379
573 ANG MO KIO AVE 3,1.37054805,103.8548387
414 ANG MO KIO AVE 10,1.3640737,103.8534854
438 ANG MO KIO AVE 10,1.3669727,103.8538073
585 ANG MO KIO AVE 3,1.3706075,103.8523717
124 ANG MO KIO AVE 6,1.3709063,103.8448378
418 ANG MO KIO AVE 10,1.36493535,103.8540608
443 ANG MO KIO AVE 10,1.3657048,103.8561066
417 ANG MO KIO AVE 10,1.36491055,103.8551983
130 ANG MO KIO AVE 3,1.3703404,103.8418249
450 ANG MO KIO AVE 10,1.3685118,103.8554737
435 ANG MO KIO AVE 10,1.36779,103.8541182
419 ANG MO KIO AVE 10,1.36529435,103.8541538
405 ANG MO KIO AVE 10,1.3615936,103.8538073
441 ANG MO KIO AVE 10,1.3660632,103.8540596
442 ANG MO KIO AVE 10,1.3656791,103.8551499
403 ANG MO KIO AVE 10,1.3613282,103.8546166
